"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA"
"70","18","4","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","0","1","0","0","0","0","0",10000,"200","7","2"
"71","18","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","0","1","0","1","0","0","0","0","0",10000,"200","7","2"
"72","18","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","0","1","0","1","0","0","0","0","0",10000,"200","7","2"
"85","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"86","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","16","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"87","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"88","22",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"93","24","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0","1","0","0","0","0","0",10000,"75","2","0"
"94","24","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","0","0","1","0","0","0","0","0",10000,"75","2","0"
"95","24","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","0","0","1","0","0","0","0","0",10000,"75","2","0"
"96","24","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","0","0","1","0","0","0","0","0",10000,"75","2","0"
"97","25","2","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","1","0","1","0","0","0","0",10000,"80","NA","1"
"98","25","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","NA","1","0","1","0","0","0","0",10000,"80","NA","1"
"99","25",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","1","0","NA","1","0","1","0","0","0","0",10000,"80","NA","1"
"100","25",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","1","0","NA","1","0","1","0","0","0","0",10000,"80","NA","1"
"101","26","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","0","1","0","0","0","0","0",9000,"167","30","3"
"102","26","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","1","0","1","0","0","0","0","0",9000,"167","30","3"
"103","26","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","0","1","0","0","0","0","0",9000,"167","30","3"
"104","26","2","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","0","1","0","0","0","0","0",9000,"167","30","3"
"121","31",">32","<=0.03","0.25","<=2","<=4","16","<=0.25","<=0.25","<=0.25",">64","<=1","64",">32",">16",">512","1","0","1","1","0","1","0","0","0","0",10500,"132","1","1"
"122","31",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","0","1","1","0","1","0","0","0","0",10500,"132","1","1"
"123","31","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","0","1","1","0","1","0","0","0","0",10500,"132","1","1"
"124","31",">32","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","1","1","0","1","0","0","0","0",10500,"132","1","1"
"129","33","4","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0","1","0","0","0","0","0",8500,"98","121","4"
"130","33","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0","1","0","0","0","0","0",8500,"98","121","4"
"131","33","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","0.5","512","1","0","0","0","1","0","0","0","0","0",8500,"98","121","4"
"132","33","4","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0","1","0","0","0","0","0",8500,"98","121","4"
