"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA","NRes","MultiR"
"169",44,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,1,NA,1,0,1,0,0,0,0,8000,NA,NA,2,3,TRUE
"173",45,4,0,0,0,0,0,0,0,0,2,0,0,4,0,4,2,0,1,0,1,0,0,0,0,0,7200,217,1,3,4,TRUE
"177",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,7300,398,1,0,0,FALSE
"181",47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,NA,0,1,0,0,0,0,0,9000,93,NA,0,2,FALSE
"185",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,9000,NA,1,1,0,FALSE
"189",49,3,0,0,1,0,0,0,0,0,3,0,0,3,1,3,2,1,NA,0,1,0,0,0,0,0,9000,196,NA,3,6,TRUE
"193",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,11000,128,2,0,0,FALSE
"197",51,3,0,1,0,0,0,0,0,0,1,0,1,3,3,3,2,1,0,4,0,0,0,0,1,0,7200,122,7,3,7,TRUE
"201",52,4,0,0,0,0,0,0,0,3,4,0,3,4,4,4,2,1,0,0,1,0,0,0,0,0,9500,158,30,4,7,TRUE
"205",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,4,0,0,0,0,1,0,6800,76,NA,1,0,FALSE
"209",54,2,0,0,0,0,0,0,0,0,3,0,0,3,0,3,2,1,1,0,1,0,0,0,0,0,7000,152,1,2,4,TRUE
"213",55,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,5,0,0,0,0,0,1,7066,293,2,1,2,FALSE
"217",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,7000,64,14,0,0,FALSE
"221",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,1,0,1,0,0,0,0,8500,162,NA,3,0,FALSE
"225",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,0,1,0,0,0,0,0,8000,NA,NA,1,0,FALSE
"229",59,2,0,0,0,0,0,0,0,0,1,0,0,2,3,3,2,1,0,4,0,0,0,0,1,0,10000,71,4,1,5,TRUE
"233",60,4,0,0,0,0,0,0,0,0,4,0,0,4,0,4,1,1,NA,5,0,0,0,0,0,1,8500,60,NA,3,4,TRUE
